movie_id,genre
2035332,Romance
2030297,Comedy
2030297,Fantasy
2035123,Drama
2036064,Drama
2036064,Thriller
2034735,Romance
2034735,Comedy
2034735,Action
2035103,Comedy
2035103,Sport
2035825,Drama
2035825,History
1077548,Drama
1010347,Romance
1010347,Drama
1010347,Thriller
2032248,Drama
2032248,Thriller
2034384,Comedy
2034041,Drama
2034041,Action
2034041,Crime
2034041,Thriller
2032817,Drama
2032817,Comedy
2032873,Drama
2032873,Romance
2032873,Comedy
2030742,Drama
2030742,Action
2032499,Comedy
2032499,Musical
2032459,Drama
2011518,Drama
2011518,Sport
2033958,Comedy
2033958,Drama
2046701,Documentary
2046368,Short
2036338,Documentary
2034447,Comedy
2025830,Comedy
2034236,Drama
2040848,Documentary
2036545,Short
1011138,Drama
1011138,Thriller
2037031,Horror
2036512,Short
2035228,Short
2036522,Documentary
2036402,Drama
2036402,Short
2036398,Adventure
2036398,Short
2036398,Drama
2036400,Drama
2036400,Short
2027320,Drama
2027320,Mystery
2034825,Horror
2034829,Documentary
2034029,Thriller
2034029,Horror
2032926,Comedy
2005930,Drama
2027711,Thriller
2027711,Drama
2033777,Crime
2033777,Mystery
2033386,Comedy
2029989,Drama
2032773,History
2032773,War
2033593,Short
2033593,Documentary
1341537,Comedy
1341537,Drama
1341537,Action
2033574,Drama
2020240,Crime
2020240,Drama
2020240,Thriller
2020240,Action
2028402,Thriller
2031108,Comedy
2029813,Romance
2029813,Comedy
2033156,Thriller
2033156,Action
2030601,Musical
2030601,Drama
2030601,Comedy
2033060,Documentary
2019662,Mystery
2019662,Drama
2019662,Thriller
2019662,Crime
2029160,Comedy
2029814,Comedy
2025865,Comedy
2019799,Comedy
2019799,Adventure
2019799,Fantasy
2029798,Drama
2030999,Short
2030999,Drama
2030999,Science Fiction
2030377,Drama
2030377,Short
2030377,Comedy
2026233,Comedy
2030243,Comedy
2022405,Comedy
2029993,Horror
2029993,Comedy
2029347,Comedy
2026456,Drama
2029041,Drama
2021758,Comedy
2026145,Comedy
2026145,Drama
2025632,Drama
2018918,Drama
2027144,Comedy
2027144,Drama
2018285,Drama
2018285,Comedy
2027056,Comedy
2022240,Comedy
2010133,Drama
2039389,Religious
2039389,Biography
2020195,Religious
2039389,Religious
2039389,Biography
2033320,Drama
2033320,Musical
2033320,Drama
2033320,Musical
2034942,Thriller
2034942,Crime
2034942,Drama
2020195,Religious
2033320,Drama
2033320,Musical
2057079,Documentary
2040384,Documentary
2040384,Short
2040384,Drama
2033652,Documentary
2033652,Musical
1521400,Action
1521400,Drama
2036528,Documentary
2036528,Animation
2035981,Biography
2035981,Documentary
2025594,Drama
2025594,Comedy
2025594,Documentary
2034135,Documentary
2019611,Drama
2021917,Drama
2021917,Mystery
2021917,Thriller
2027425,Drama
2027425,Family
2025529,Documentary
2025529,Drama
2025529,History
2021036,Drama
2026451,Drama
2025730,Comedy
2025730,Drama
2018829,Action
2018829,Comedy
2018829,Romance
2020668,Short
2018950,Drama
2021511,Drama
2021511,Action
2012045,Comedy
2021414,Comedy
2021414,Romance
2021414,Fantasy
2025534,Comedy
2025534,Musical
2018480,Drama
2010388,Drama
2010388,Documentary
2024960,Mystery
2005518,Thriller
2007223,Comedy
2020280,Drama
2018931,Romance
2018931,Comedy
2016632,Thriller
2016632,Crime
2016632,Comedy
1294243,Drama
1294243,Comedy
2020082,Comedy
2017531,Comedy
2019606,Comedy
2018696,Comedy
2005249,Drama
2007825,Comedy
2018689,Drama
2018689,Comedy
2036839,Drama
2020930,Drama
2067392,Documentary
2067392,Drama
2045085,Religious
1263843,Short
1263843,Drama
2037198,Documentary
2019901,Short
2003922,Thriller
2003922,Drama
2018955,Drama
1416070,Comedy
1416070,Romance
1416070,Drama
1416070,Family
1644198,Thriller
1644198,Crime
1644198,Drama
2004777,Documentary
2018834,Documentary
2018834,Drama
1390468,Drama
2020682,Comedy
1275307,Drama
2017768,Drama
1178712,Crime
1178712,Drama
2012422,Drama
2016635,Crime
2016635,Thriller
2016635,Drama
1334680,Adventure
1334680,Thriller
1334680,Crime
1334680,Action
2018084,Comedy
2018084,Drama
2018558,Comedy
2018558,Drama
2018558,Family
1210825,Thriller
1210825,Crime
2017313,Comedy
2017313,Family
2018290,Thriller
2005960,Drama
2008910,Romance
2008910,Comedy
1064773,Drama
1064773,Comedy
2012060,Documentary
2009856,Comedy
2009856,Drama
2008377,Drama
2008377,Thriller
2017059,Documentary
2017059,Short
2006532,Drama
2006532,Comedy
2006532,Romance
2012371,Documentary
2012371,Short
2006333,Comedy
2006333,Drama
2006333,Romance
2006903,Drama
2006903,Thriller
2006903,Comedy
2006874,Crime
2006874,Drama
2006874,Thriller
2008130,Thriller
2008130,Drama
2008130,Action
2010446,Drama
2010446,Comedy
2011165,Romance
2011165,Comedy
2008207,Comedy
2008207,Drama
1173494,Comedy
1173494,Fantasy
2009289,Drama
1411403,Drama
1411403,Romance
1411403,Comedy
2009268,Documentary
2005087,Thriller
2005087,Drama
1373354,Thriller
1373354,Romance
1476116,Drama
1476116,Thriller
1476116,Crime
2011359,Action
2011359,Drama
2011359,Thriller
2011359,Mystery
2011359,Crime
1799229,Thriller
1799229,Drama
1799229,Crime
2010476,Short
2010476,Drama
2018826,Drama
2018826,Documentary
2012377,Short
2012377,Documentary
2010553,Comedy
2010553,Drama
1799229,Thriller
1799229,Drama
1799229,Crime
2009027,Drama
2009027,Documentary
2011664,Drama
2011359,Action
2011359,Drama
2011359,Thriller
2011359,Mystery
2011359,Crime
2010407,Drama
2011359,Action
2011359,Drama
2011359,Thriller
2011359,Mystery
2011359,Crime
2008578,Documentary
2008578,Family
2008578,Biography
2011068,Horror
2011068,Drama
1849452,Drama
1453872,Documentary
2008275,Documentary
1069375,Biography
1069375,Musical
1069375,Drama
2005450,Drama
2005450,Comedy
2006732,Comedy
2006732,Fantasy
2012325,Comedy
2012325,Documentary
2011520,Documentary
2008574,Documentary
1198595,Crime
1198595,Drama
1198595,Thriller
2008157,Drama
2008157,Musical
2009824,Thriller
2009824,Short
2009824,Drama
2009821,Short
2009611,Short
2009606,Drama
2009606,Short
2009616,Short
2009260,Short
2009241,Short
2009222,Short
2009227,Short
1053377,Drama
2003869,Short
2003869,Drama
2005931,Documentary
2004879,Short
1242904,Family
1242904,Comedy
1242904,Romance
1242904,Drama
1166163,Comedy
2006601,Comedy
2006601,Drama
1033398,Drama
1840913,Comedy
1840913,Drama
1090254,Comedy
1090254,Romance
1056748,Comedy
2005521,Drama
2005521,Comedy
1399339,Romance
1079361,Short
1079361,Drama
1537236,Romance
1537236,Comedy
1279210,Drama
1279210,Thriller
1810634,Drama
1810634,Comedy
2003980,Comedy
2003980,Drama
1445314,Comedy
1445314,Drama
1205892,Comedy
1205892,Drama
1068941,Romance
1068941,Comedy
1289005,Drama
1098370,Comedy
1098370,Drama
1098370,Action
1899554,Comedy
1899554,Drama
1522922,Drama
1522922,Comedy
1716943,War
1140013,Musical
1140013,Drama
2012376,Documentary
2012376,Short
2009868,Short
2009238,Short
2009614,Short
2011099,Documentary
2011099,Musical
2008633,Drama
2008633,Short
2018611,Biography
2018611,Documentary
2012331,Documentary
1966926,Short
2008633,Drama
2008633,Short
2009837,Drama
2009837,Short
2005011,Drama
2009837,Drama
2009837,Short
2012376,Documentary
2012376,Short
1127441,Crime
1127441,Drama
2009818,Short
2060948,Thriller
2054806,Drama
1115311,Drama
1568357,Romance
1568357,Adventure
1568357,Drama
2008726,Documentary
