movie_id,authority,rating









2066560,Egypt,All Ages





1010207,Egypt,All Ages

1010102,elCinema.com,Adult Supervision
1010102,elCinema.com,Adult Supervision


1009777,Egypt,All Ages
1009777,Egypt,All Ages

1010026,elCinema.com,Adult Supervision
1009711,elCinema.com,Family (all ages)




1002404,elCinema.com,Adult Supervision

1001525,elCinema.com,Family (all ages)
1010932,elCinema.com,Adult Supervision
1007823,elCinema.com,Adults Only (18+)



1009554,Egypt,+18
1011303,Egypt,All Ages


1139916,elCinema.com,Adult Supervision

1009116,Egypt,All Ages





1002466,Egypt,All Ages



1010150,Egypt,All Ages




1010833,elCinema.com,Adults Only (18+)

1007200,Egypt,All Ages

1007200,Egypt,All Ages



1865087,Egypt,All Ages

2053409,Egypt,All Ages




1011129,elCinema.com,Adult Supervision

1006729,Egypt,All Ages


1002740,Egypt,+18
1010163,Egypt,All Ages

1003972,Egypt,All Ages

1004658,Egypt,All Ages
1520640,Egypt,All Ages










1024001,Egypt,All Ages










1010166,Egypt,All Ages
1008898,elCinema.com,Adult Supervision


1007836,Egypt,All Ages
1000942,Egypt,All Ages



1561252,elCinema.com,Adult Supervision


1008760,Egypt,All Ages
1000241,elCinema.com,Adult Supervision



1003663,Egypt,+16


1005101,elCinema.com,Family (all ages)





1005101,elCinema.com,Family (all ages)






1010491,Egypt,All Ages
1428976,Egypt,All Ages
1277378,Egypt,All Ages
1010124,Egypt,+18
1316608,Egypt,All Ages




1736872,elCinema.com,Adults Only (18+)


1010247,elCinema.com,Family (all ages)







1001313,Egypt,All Ages
1001313,Egypt,All Ages


1007920,Egypt,+18





1010716,Egypt,All Ages
1353927,Egypt,All Ages
1007463,elCinema.com,Adults Only (18+)
1010796,MPAA,Unrated
1001542,elCinema.com,Adults Only (18+)





























1000091,Egypt,All Ages
1010489,elCinema.com,Adult Supervision
1089577,elCinema.com,Adult Supervision
1505256,elCinema.com,Adult Supervision
1008877,Egypt,All Ages

1005985,elCinema.com,Adult Supervision

1003341,elCinema.com,Family (all ages)
1006861,elCinema.com,Adult Supervision
1004818,elCinema.com,Adult Supervision
1007617,Egypt,All Ages

1579694,Egypt,All Ages
1011705,elCinema.com,Adult Supervision
1004695,Egypt,All Ages

1007086,Egypt,All Ages


1639933,Egypt,All Ages




1000714,Egypt,All Ages




2020153,Egypt,All Ages


1010911,elCinema.com,Adult Supervision
















1000358,Egypt,All Ages


2001543,elCinema.com,Family (all ages)

1010234,elCinema.com,Adult Supervision




2026334,MPAA,NR
1007517,Egypt,All Ages

1009838,elCinema.com,Adult Supervision


1009175,Egypt,All Ages

1005762,Egypt,All Ages

1009678,Egypt,All Ages



1010564,Egypt,All Ages
1000323,Egypt,All Ages



















1008493,Egypt,+18
1005848,elCinema.com,Adults Only (18+)


1001372,elCinema.com,Adult Supervision
